,SNOMED Concepts,IBD (first presentation non flare),GERD,simple UTI,viral GE,bladder cancer (first presentation),acute cholecystitis,appendicitis,ectopic pregnancy,IBS,acute pyelonephritis,Abdo Pain NOS (Idiopathic)
ICD10 CODES???,,,,,,,,,,,,
How Common Condition?,,x,xx,xx,xx,x,x,x,"x, only females",xxx,x,xx
Abdo Pain Cramping Central 2 days,,xx,,,xx,,x,x,x,xx,x,x
sharp lower quadrant pain,,x,,x,,,,xx,xx,,xx,
Diarrhoea,,xx,,,xx,,,x,,xx,,
Vomiting,,x,x,x,xx,,xx,x,xx,x,xx,
Dysuria,,,,xx,,,,,,,xx,
Increased Urination Freq.,,,,xx,,x,,x,,,xx,
Haematuria,,,,x,,xx,,x,x,,xx,
Weight Loss,,x,,,,xx,,,,,,
Fever,,x,,x,x,,xx,xx,x,,xx,
heartburn,,,xx,,,,,,,,,
Factor: missed period,,,,,,,,,x,,,
Expected triage level,,PC,PC,PC,SC/PC,PC,EC,EC,EC,PC,EC,PC